날짜,순번,구분,시간,구장,중계일정,라운드,비고,경기
10.17 (화),6,여자,19:00,대전충무체육관,SBS Sports KBSN Sports NAVER,V-리그 1Round,하이라이트 상세결과,정관장 3 : 0 IBK기업은행
10.20 (금),12,여자,19:00,서울장충체육관,SBS Sports NAVER,V-리그 1Round,하이라이트 상세결과,GS칼텍스 3 : 0 정관장
10.26 (목),22,여자,19:00,인천삼산월드체육관,KBSN Sports NAVER,V-리그 1Round,하이라이트 상세결과,흥국생명 2 : 3 정관장
10.29 (일),28,여자,16:00,대전충무체육관,SBS Sports NAVER,V-리그 1Round,하이라이트 상세결과,정관장 3 : 0 현대건설
11.02 (목),34,여자,19:00,대전충무체육관,SBS Sports NAVER,V-리그 1Round,하이라이트 상세결과,정관장 0 : 3 한국도로공사
11.05 (일),40,여자,16:00,페퍼스타디움,KBSN Sports NAVER,V-리그 1Round,하이라이트 상세결과,페퍼저축은행 0 : 3 정관장
11.09 (목),46,여자,19:00,수원체육관,SBS Sports NAVER,V-리그 2Round,하이라이트 상세결과,현대건설 3 : 1 정관장
11.14 (화),54,여자,19:00,서울장충체육관,SBS Sports NAVER,V-리그 2Round,하이라이트 상세결과,GS칼텍스 3 : 0 정관장
11.18 (토),62,여자,16:00,김천실내체육관,SBS Sports NAVER,V-리그 2Round,하이라이트 상세결과,한국도로공사 3 : 2 정관장
11.21 (화),66,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 2Round,하이라이트 상세결과,정관장 2 : 3 흥국생명
11.24 (금),72,여자,19:00,화성종합실내체육관,SBS Sports NAVER,V-리그 2Round,하이라이트 상세결과,IBK기업은행 3 : 1 정관장
11.28 (화),78,여자,19:00,대전충무체육관,SBS Sports NAVER,V-리그 2Round,하이라이트 상세결과,정관장 3 : 1 페퍼저축은행
12.02 (토),86,여자,16:00,대전충무체육관,SBS Sports NAVER,V-리그 3Round,하이라이트 상세결과,정관장 2 : 3 IBK기업은행
12.08 (금),96,여자,19:00,페퍼스타디움,SBS Sports NAVER,V-리그 3Round,하이라이트 상세결과,페퍼저축은행 1 : 3 정관장
12.13 (수),104,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 3Round,하이라이트 상세결과,정관장 3 : 0 한국도로공사
12.16 (토),110,여자,16:00,대전충무체육관,KBSN Sports NAVER,V-리그 3Round,하이라이트 상세결과,정관장 2 : 3 현대건설
12.21 (목),118,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 3Round,하이라이트 상세결과,정관장 1 : 3 GS칼텍스
12.24 (일),124,여자,16:00,인천삼산월드체육관,SBS Sports NAVER,V-리그 3Round,하이라이트 상세결과,흥국생명 3 : 1 정관장
12.28 (목),130,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 4Round,하이라이트 상세결과,정관장 0 : 3 흥국생명
01.01 (월),138,여자,16:00,김천실내체육관,KBSN Sports NAVER,V-리그 4Round,하이라이트 상세결과,한국도로공사 1 : 3 정관장
01.06 (토),146,여자,16:00,대전충무체육관,SBS Sports NAVER,V-리그 4Round,하이라이트 상세결과,정관장 3 : 0 GS칼텍스
01.11 (목),154,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 4Round,하이라이트 상세결과,정관장 3 : 1 페퍼저축은행
01.14 (일),160,여자,16:00,수원체육관,SBS Sports NAVER,V-리그 4Round,하이라이트 상세결과,현대건설 3 : 0 정관장
01.18 (목),166,여자,19:00,화성종합실내체육관,KBSN Sports NAVER,V-리그 4Round,하이라이트 상세결과,IBK기업은행 0 : 3 정관장
02.01 (목),174,여자,19:00,대전충무체육관,SBS Sports NAVER,V-리그 5Round,하이라이트 상세결과,정관장 3 : 1 IBK기업은행
02.04 (일),180,여자,16:00,대전충무체육관,KBSN Sports NAVER,V-리그 5Round,하이라이트 상세결과,정관장 3 : 2 현대건설
02.08 (목),186,여자,19:00,인천삼산월드체육관,SBS Sports NAVER,V-리그 5Round,하이라이트 상세결과,흥국생명 3 : 1 정관장
02.11 (일),192,여자,16:00,대전충무체육관,SBS Sports NAVER,V-리그 5Round,하이라이트 상세결과,정관장 3 : 1 한국도로공사
02.16 (금),200,여자,19:00,페퍼스타디움,KBSN Sports NAVER,V-리그 5Round,하이라이트 상세결과,페퍼저축은행 1 : 3 정관장
02.21 (수),208,여자,19:00,서울장충체육관,KBSN Sports NAVER,V-리그 5Round,하이라이트 상세결과,GS칼텍스 0 : 3 정관장
02.24 (토),214,여자,16:00,대전충무체육관,SBS Sports NAVER,V-리그 6Round,하이라이트 상세결과,정관장 3 : 1 흥국생명
02.27 (화),218,여자,19:00,김천실내체육관,KBSN Sports NAVER,V-리그 6Round,하이라이트 상세결과,한국도로공사 1 : 3 정관장
03.02 (토),226,여자,16:00,수원체육관,KBSN Sports NAVER,V-리그 6Round,하이라이트 상세결과,현대건설 2 : 3 정관장
03.07 (목),234,여자,19:00,대전충무체육관,KBSN Sports NAVER,V-리그 6Round,하이라이트 상세결과,정관장 3 : 0 GS칼텍스
03.13 (수),244,여자,19:00,대전충무체육관,SBS Sports NAVER,V-리그 6Round,하이라이트 상세결과,정관장 1 : 3 페퍼저축은행
03.17 (일),252,여자,16:00,화성종합실내체육관,KBSN Sports NAVER,V-리그 6Round,관전 포인트 전력비교 하이라이트 상세결과,IBK기업은행 0 : 0 정관장
03.22 (금),255,여자,19:00,,,,,정규2위 0 : 0 정관장
03.24 (일),257,여자,19:00,대전충무체육관,,,,정규2위 0 : 0 정관장
03.26 (화),259,여자,19:00,,,,,정규2위 0 : 0 정관장
